lat,lon,date,confirmed,recovered,death
5.0,-58.75,3/11/20,0,0,0
15.0,101.0,3/12/20,70,34,1
36.0,138.0,3/12/20,639,118,16
1.2833,103.8333,3/12/20,178,96,0
28.1667,84.25,3/12/20,1,1,0
2.5,112.5,3/12/20,149,26,0
49.2827,-123.1207,3/12/20,46,4,1
-33.8688,151.2093,3/12/20,65,4,2
-37.8136,144.9631,3/12/20,21,7,0
-28.0167,153.4,3/12/20,20,8,0
11.55,104.9167,3/12/20,3,1,0
7.0,81.0,3/12/20,2,1,0
51.0,9.0,3/12/20,2078,25,3
64.0,26.0,3/12/20,59,1,0
24.0,54.0,3/12/20,85,17,0
13.0,122.0,3/12/20,52,2,2
21.0,78.0,3/12/20,73,4,1
63.0,16.0,3/12/20,599,1,1
40.0,-4.0,3/12/20,2277,183,55
-34.9285,138.6007,3/12/20,9,2,0
50.8333,4.0,3/12/20,314,1,3
26.0,30.0,3/12/20,67,27,1
35.4437,139.638,3/12/20,0,0,0
33.8547,35.8623,3/12/20,61,1,3
33.0,44.0,3/12/20,71,15,8
21.0,57.0,3/12/20,18,9,0
33.0,65.0,3/12/20,7,0,0
26.0275,50.55,3/12/20,195,35,0
29.5,47.75,3/12/20,80,5,0
28.0339,1.6596,3/12/20,24,8,1
45.1,15.2,3/12/20,19,0,0
46.8182,8.2275,3/12/20,652,4,4
47.5162,14.5501,3/12/20,302,4,1
31.0,35.0,3/12/20,131,4,0
30.3753,69.3451,3/12/20,20,2,0
-14.235,-51.9253,3/12/20,52,0,0
42.3154,43.3569,3/12/20,24,0,0
39.0742,21.8243,3/12/20,99,0,1
41.6086,21.7453,3/12/20,7,0,0
60.472,8.4689,3/12/20,702,1,0
45.9432,24.9668,3/12/20,49,6,0
58.5953,25.0136,3/12/20,16,0,0
52.1326,5.2913,3/12/20,503,0,5
43.9424,12.4578,3/12/20,69,0,3
53.7098,27.9534,3/12/20,12,3,0
64.9631,-19.0208,3/12/20,103,1,0
55.1694,23.8813,3/12/20,3,0,0
23.6345,-102.5528,3/12/20,12,4,0
-40.9006,174.886,3/12/20,5,0,0
9.082,8.6753,3/12/20,2,0,0
-31.9505,115.8605,3/12/20,9,0,1
53.1424,-7.6921,3/12/20,43,0,1
49.8153,6.1296,3/12/20,19,0,0
43.7333,7.4167,3/12/20,2,0,0
25.3548,51.1839,3/12/20,262,0,0
-1.8312,-78.1834,3/12/20,17,0,0
40.1431,47.5769,3/12/20,11,3,0
40.0691,45.0382,3/12/20,4,0,0
18.7357,-70.1627,3/12/20,5,0,0
-0.7893,113.9213,3/12/20,34,2,1
39.3999,-8.2245,3/12/20,59,0,0
42.5063,1.5218,3/12/20,1,1,0
-41.4545,145.9707,3/12/20,3,0,0
56.8796,24.6032,3/12/20,10,1,0
31.7917,-7.0926,3/12/20,6,0,1
24.0,45.0,3/12/20,45,1,0
14.4974,-14.4524,3/12/20,4,1,0
-38.4161,-63.6167,3/12/20,19,0,1
-35.6751,-71.543,3/12/20,23,0,0
31.24,36.51,3/12/20,1,0,0
48.3794,31.1656,3/12/20,1,0,0
47.1625,19.5033,3/12/20,13,0,0
-12.4634,130.8456,3/12/20,1,0,0
47.14,9.55,3/12/20,1,0,0
51.9194,19.1451,3/12/20,49,0,1
34.0,9.0,3/12/20,7,0,0
43.9159,17.6791,3/12/20,11,0,0
46.1512,14.9955,3/12/20,89,0,0
-30.5595,22.9375,3/12/20,17,0,0
27.5142,90.4336,3/12/20,1,0,0
3.8480000000000000,11.5021,3/12/20,2,0,0
4.5709,-74.2973,3/12/20,9,0,0
9.7489,-83.7534,3/12/20,22,0,0
-9.19,-75.0152,3/12/20,15,0,0
44.0165,21.0059,3/12/20,19,0,0
48.669,19.699,3/12/20,16,0,0
8.6195,0.8248,3/12/20,1,0,0
3.9339,-53.1258,3/12/20,5,0,0
35.9375,14.3754,3/12/20,6,0,0
14.6415,-61.0242,3/12/20,3,0,0
42.7339,25.4858,3/12/20,7,0,1
3.2028,73.2207,3/12/20,8,0,0
23.685,90.3563,3/12/20,3,0,0
-23.4425,-58.4438,3/12/20,5,0,0
51.2538,-85.3232,3/12/20,42,4,0
53.9333,-116.5765,3/12/20,19,0,0
52.9399,-73.5491,3/12/20,9,0,0
41.1533,20.1683,3/12/20,23,0,1
35.1264,33.4299,3/12/20,6,0,0
4.5353,114.7277,3/12/20,11,0,0
47.4009,-121.4905,3/12/20,442,1,31
42.1657,-74.9481,3/12/20,328,0,0
36.1162,-119.6816,3/12/20,221,6,4
42.2302,-71.5301,3/12/20,108,1,0
35.4437,139.638,3/12/20,46,0,0
37.6489,-122.6655,3/12/20,21,0,0
33.0406,-83.6431,3/12/20,31,0,1
39.0598,-105.3111,3/12/20,45,0,0
27.7663,-81.6868,3/12/20,35,0,2
40.2989,-74.521,3/12/20,29,0,1
44.572000000000000,-122.0709,3/12/20,24,0,0
31.0545,-97.5635,3/12/20,27,0,0
40.3495,-88.9861,3/12/20,32,2,0
40.5908,-77.2098,3/12/20,22,0,0
42.0115,-93.2105,3/12/20,16,0,0
39.0639,-76.8021,3/12/20,12,0,0
35.6301,-79.8064,3/12/20,15,0,0
33.8569,-80.945,3/12/20,12,0,0
35.7478,-86.6923,3/12/20,18,0,0
37.7693,-78.17,3/12/20,17,0,0
33.7298,-111.4312,3/12/20,9,1,0
39.8494,-86.2583,3/12/20,13,0,0
37.6681,-84.6701,3/12/20,10,0,0
38.8974,-77.0268,3/12/20,10,0,0
38.3135,-117.0554,3/12/20,14,0,0
43.4525,-71.5639,3/12/20,6,0,0
45.6945,-93.9002,3/12/20,9,0,0
41.1254,-98.2681,3/12/20,10,0,0
40.3888,-82.7649,3/12/20,5,0,0
41.6809,-71.5118,3/12/20,5,0,0
44.2685,-89.6165,3/12/20,8,1,0
41.5978,-72.7554,3/12/20,5,0,0
21.0943,-157.4983,3/12/20,2,0,0
35.5653,-96.9289,3/12/20,2,0,0
40.15,-111.8624,3/12/20,5,0,0
12.2383,-1.5616,3/12/20,2,0,0
41.9029,12.4534,3/12/20,1,0,0
46.8625,103.8467,3/12/20,1,0,0
8.538,-80.7821,3/12/20,11,0,1
38.5266,-96.7265,3/12/20,1,0,0
31.1695,-91.8678,3/12/20,19,0,0
38.4561,-92.2884,3/12/20,1,0,0
44.0459,-72.7107,3/12/20,2,0,0
61.3707,-152.4044,3/12/20,0,0,0
34.9697,-92.3731,3/12/20,6,0,0
39.3185,-75.5071,3/12/20,1,0,0
44.2405,-114.4788,3/12/20,0,0,0
44.6939,-69.3819,3/12/20,0,0,0
43.3266,-84.5361,3/12/20,2,0,0
32.7416,-89.6787,3/12/20,1,0,0
46.9219,-110.4544,3/12/20,1,0,0
34.8405,-106.2485,3/12/20,5,0,0
47.5289,-99.78400000000000,3/12/20,1,0,0
44.2998,-99.4388,3/12/20,8,0,1
38.4912,-80.9545,3/12/20,0,0,0
42.756,-107.3025,3/12/20,1,0,0
46.2276,2.2137,3/12/20,2281,12,48
23.3417,113.4244,3/12/20,1356,1289,8
33.882,113.61400000000000,3/12/20,1273,1249,22
29.1832,120.0934,3/12/20,1215,1197,1
27.6104,111.7088,3/12/20,1018,999,4
31.8257,117.2264,3/12/20,990,984,6
27.614,115.7221,3/12/20,935,934,1
36.3427,118.1498,3/12/20,760,734,6
35.4437,139.638,3/12/20,696,325,7
32.9711,119.455,3/12/20,631,629,0
30.0572,107.874,3/12/20,576,564,6
30.6171,102.7103,3/12/20,539,498,3
47.862000000000000,127.7615,3/12/20,482,441,13
55.3781,-3.4360000000000000,3/12/20,456,18,8
56.2639,9.5018,3/12/20,615,1,0
40.1824,116.4142,3/12/20,435,334,8
31.202000000000000,121.4491,3/12/20,344,321,3
39.549,116.1306,3/12/20,318,308,6
26.0789,117.9874,3/12/20,296,295,1
23.8298,108.7881,3/12/20,252,241,2
35.1917,108.8701,3/12/20,245,232,2
24.974,101.48700000000000,3/12/20,174,170,2
19.1959,109.7453,3/12/20,168,160,6
26.8154,106.8748,3/12/20,146,137,2
39.3054,117.323,3/12/20,136,132,3
37.5777,112.2922,3/12/20,133,132,0
37.8099,101.0583,3/12/20,127,88,2
22.3,114.2,3/12/20,129,67,3
41.2956,122.6085,3/12/20,125,112,1
43.6661,126.1923,3/12/20,93,91,1
49.8175,15.473000000000000,3/12/20,94,0,0
41.1129,85.2401,3/12/20,76,73,3
44.0935,113.9448,3/12/20,75,71,1
37.2692,106.1655,3/12/20,75,72,0
23.7,121.0,3/12/20,49,20,1
16.0,108.0,3/12/20,39,16,0
60.0,90.0,3/12/20,28,3,0
35.7452,95.9956,3/12/20,18,18,0
22.1667,113.55,3/12/20,10,10,0
47.4116,28.3699,3/12/20,3,0,0
-16.2902,-63.5887,3/12/20,2,0,0
61.8926,-6.9118,3/12/20,2,0,0
18.0708,-63.0501,3/12/20,2,0,0
15.2,-86.2419,3/12/20,2,0,0
49.3723,-2.3644,3/12/20,2,0,0
46.5653,-66.4619,3/12/20,1,0,0
31.6927,88.0924,3/12/20,1,1,0
-4.0383,21.7587,3/12/20,1,0,0
7.54,-5.5471,3/12/20,1,0,0
17.9,-62.8333,3/12/20,1,0,0
18.1096,-77.2975,3/12/20,2,0,0
-21.1151,55.5364,3/12/20,1,0,0
38.9637,35.2433,3/12/20,1,0,0
36.1408,-5.3536,3/12/20,1,1,0
47.6477,-122.6413,3/12/20,0,0,0
38.3105,-121.9018,3/12/20,0,0,0
